Eye of the storm, 94
intro, . . . [radio-voice] , Cm . . .,  Cm . . ., Cm . . ., Cm . Bb ., Cm . . .,  Cm . . ., Cm . . ., Cm . Bb ., Cm . . ., Cm . . .,
Vers1, Cm . . . , Cm . Ab/C . , Cm . . ., Eb F Eb F# , F Cm . ., Cm . . . , Cm . Ab/C . , Cm . . ., Eb F Eb F# , F Cm . ., {sailing through eternety=the baltic sea is roaring on the wild=in the sense of ... =a thousand victims are going to lose their lives},
Brygga1, C# . . ., G . . . , C# . . ., G . G# . , G . . ., {they are driving it to hard=and the evil is about to start}
Ref1, Cm . . ., Cm . . ., Cm . . ., Bb . . ., Cm . . ., Cm . . ., Cm . . ., Cm . Bb  ., {in the eye of the storm=hear heaven cry=in the eye of the storm=many heroes died}
Vers2, Cm . . . , Cm . Ab/C . , Cm . . ., Eb F Eb F# , F Cm . ., Cm . . . , Cm . Ab/C . , Cm . . ., Eb F Eb F# , F Cm . ., {things will never be the same= ... our minds=and what kind of leadership=refusing families to say goodbye},
Brygga2, C# . . ., G . . . , C# . . ., G . G# . , G . . ., {the creatures of the ... are running wild=there is no moral=no dignity no style}
Ref2, Cm . . ., Cm . . ., Cm . . ., Bb . . ., Cm . . ., Cm . . ., Cm . . ., Cm . Bb . ,  {in the eye of the storm=hear heaven cry=in the eye of the storm=many heroes died},
Riff, RIFF . . .  [riff] , . . . ., . . . ., . . . ., . . . ., . . . ., . . . ., . . . _ [stop],
Stick, G . . ., G# . F ., G . . . , G# . F-G-G# ., G . . ., G# . F ., G . G# . , G . . ., {down at the bottom of the sea=a scene so unreal=there lies a coffin=it could have been you or me}
Ref3, Cm . . ., Cm . . ., Cm . . ., Bb . . ., Cm . . ., Cm . . ., Cm . . ., Cm . Bb . , Cm . . ., Cm . . ., Cm . . ., Bb . . ., Cm . . ., Cm . . ., Cm . . ., Cm . Bb  ., {in the eye of the storm=hear heaven cry=in the eye of the storm=many heroes died},
Riff, . . . . [riff] ,  . . . .,  . . . .,  CC _ _ [stop], 
