Beat of my heart, 115 ,
Intro , F , C , Bb , C , F , C , Bb , C ,
Keys-in, F , F , F , 8/8 F . . . . . f e ,  F , F , F , 8/8 F . . . . . f e , 
Trummor in, F , C , Bb , C , F , C , Bb , C ,
Git solo, F , Am, Bb, C , F , Am, Bb, C,
Keys+sång, F , C , F , Bb , F , C , F , Bb ,
trummer in, F , C , F , Bb , F , C , F , Bb ,
vamp på F, F , F, F , F , F, F
Ref, F, Am , Bb, C,  F, Am , Bb, C, 
keys, F , C , Bb , C , F , C , Bb , C ,
